transaction_id,is_fraud,fraud_reason,fraud_risk_score
T0014219,0,,0.37
T0014220,0,,0.77
T0014221,0,,0.57
T0014222,0,,0.87
T0014223,0,,0.49
T0014224,0,,0.73
T0014225,0,,0.19
T0014226,0,,0.43
T0014227,0,,0.98
T0014228,0,,0.37
T0014229,0,,0.9
T0014230,0,,0.08
T0014231,0,,0.39
T0014232,0,,0.59
T0014233,0,,0.92
T0014234,0,,0.63
T0014235,0,,0.79
T0014236,0,,0.28
T0014237,0,,0.85
T0014238,0,,0.05
T0014239,0,,0.85
T0014240,0,,0.09
T0014241,0,,0.65
T0014242,0,,0.05
T0014243,0,,0.4
T0014244,0,,0.29
T0014245,0,,0.92
T0014246,0,,0.41
T0014247,0,,0.79
T0014248,0,,0.63
T0014249,0,,0.99
T0014250,0,,0.18
T0014251,0,,0.25
T0014252,0,,0.46
T0014253,0,,0.24
T0014254,0,,0.24
T0014255,0,,0.89
T0014256,0,,0.63
T0014257,0,,0.91
T0014258,0,,0.98
T0014259,0,,0.1
T0014260,0,,0.01
T0014261,0,,0.4
T0014262,1,High risk transaction,0.76
T0014263,0,,0.35
T0014264,0,,0.58
T0014265,0,,0.37
T0014266,0,,0.01
T0014267,0,,0.78
T0014268,0,,0.99
T0014269,0,,0.67
T0014270,0,,0.43
T0014271,0,,0.93
T0014272,0,,0.87
T0014273,0,,0.12
T0014274,0,,0.68
T0014275,0,,0.81
T0014276,0,,0.31
T0014277,0,,0.42
T0014278,0,,0.78
T0014279,0,,0.04
T0014280,0,,0.43
T0014281,0,,0.03
T0014282,0,,0.37
T0014283,0,,0.15
T0014284,0,,0.62
T0014285,0,,0.22
T0014286,0,,0.51
T0014287,0,,0.79
T0014288,0,,0.38
T0014289,0,,0.58
T0014290,0,,0.54
T0014291,0,,0.25
T0014292,0,,0.63
T0014293,0,,0.34
T0014294,0,,0.35
T0014295,0,,0.45
T0014296,0,,0.7
T0014297,0,,1
T0014298,0,,0.37
T0014299,0,,0.76
T0014300,0,,0.35
T0014301,1,High risk transaction,0.97
T0014302,0,,0.15
T0014303,0,,0.15
T0014304,0,,0.52
T0014305,1,High risk transaction,0.96
T0014306,0,,0.36
T0014307,0,,0.58
T0014308,0,,0.43
T0014309,0,,0.25
T0014310,0,,0.19
T0014311,0,,0.94
T0014312,0,,0.72
T0014313,0,,0.49
T0014314,0,,0.32
T0014315,0,,0.37
T0014316,0,,0.38
T0014317,0,,0.16
T0014318,0,,0.77
T0014319,0,,0.27
T0014320,0,,0.14
T0014321,0,,0.55
T0014322,0,,0.99
T0014323,1,Multiple failed attempts,0.31
T0014324,0,,0.27
T0014325,0,,0.96
T0014326,0,,0.32
T0014327,0,,0.17
T0014328,0,,0.62
T0014329,0,,0.67
T0014330,0,,0.41
T0014331,0,,0.93
T0014332,0,,0.63
T0014333,1,High risk transaction,0.83
T0014334,0,,0.66
T0014335,0,,0.21
T0014336,0,,0.48
T0014337,0,,0.8
T0014338,0,,0.84
T0014339,0,,0.7
T0014340,0,,0.36
T0014341,0,,0.24
T0014342,0,,0.07
T0014343,0,,0.15
T0014344,0,,0.73
T0014345,0,,0.84
T0014346,0,,0.39
T0014347,0,,0.23
T0014348,0,,0.57
T0014349,0,,0.19
T0014350,0,,0.75
T0014351,0,,0.56
T0014352,0,,0.74
T0014353,0,,0.86
T0014354,0,,0.77
T0014355,0,,0.25
T0014356,0,,0.7
T0014357,0,,0.46
T0014358,0,,0.77
T0014359,0,,0.71
T0014360,0,,0.49
T0014361,0,,0.73
T0014362,0,,0.99
T0014363,0,,0.93
T0014364,0,,0.98
T0014365,0,,0.6
T0014366,0,,0.54
T0014367,0,,0.63
T0014368,0,,0.51
T0014369,0,,0.99
T0014370,0,,0.16
T0014371,0,,0.81
T0014372,0,,0.06
T0014373,0,,0.4
T0014374,0,,0.91
T0014375,0,,0.52
T0014376,0,,0.63
T0014377,0,,0.73
T0014378,0,,0.4
T0014379,0,,0.96
T0014380,0,,0.81
T0014381,0,,0.16
T0014382,0,,0.48
T0014383,0,,0.01
T0014384,1,High risk transaction,0.86
T0014385,0,,0.4
T0014386,0,,0.83
T0014387,0,,0.58
T0014388,0,,0.48
T0014389,0,,1
T0014390,0,,0.89
T0014391,0,,0.62
T0014392,0,,0.92
T0014393,0,,0.62
T0014394,0,,0.64
T0014395,0,,0.6
T0014396,0,,0.32
T0014397,0,,0.82
T0014398,1,High risk transaction,0.85
T0014399,0,,0.63
T0014400,0,,0.6
T0014401,0,,0.16
T0014402,0,,0.58
T0014403,0,,0.45
T0014404,0,,0.6
T0014405,0,,0.77
T0014406,0,,0.42
T0014407,0,,0.02
T0014408,0,,0.25
T0014409,0,,0.44
T0014410,1,High risk transaction,0.83
T0014411,0,,0.94
T0014412,0,,0.48
T0014413,0,,0.89
T0014414,0,,0.84
T0014415,0,,0.93
T0014416,0,,0.82
T0014417,0,,0.27
T0014418,0,,0.33
T0014419,0,,0.94
T0014420,0,,0.87
T0014421,0,,0.42
T0014422,0,,0.3
T0014423,0,,0.19
T0014424,0,,0.24
T0014425,0,,0.65
T0014426,0,,0.85
T0014427,0,,1
T0014428,0,,0.37
T0014429,0,,0.4
T0014430,0,,0.16
T0014431,0,,0.54
T0014432,0,,0.81
T0014433,0,,0.36
T0014434,0,,0.76
T0014435,0,,0.91
T0014436,0,,0.51
T0014437,0,,0.22
T0014438,0,,0.8
T0014439,0,,0.06
T0014440,0,,0.84
T0014441,0,,0.01
T0014442,0,,0.16
T0014443,1,High risk transaction,0.98
T0014444,0,,0.5
T0014445,0,,0.77
T0014446,0,,0.34
T0014447,1,High risk transaction,0.81
T0014448,0,,0.07
T0014449,0,,0.07
T0014450,0,,0.91
T0014451,0,,0.62
T0014452,0,,0.65
T0014453,0,,0.13
T0014454,0,,0.6
T0014455,0,,0.1
T0014456,0,,0.87
T0014457,0,,0.34
T0014458,0,,0.62
T0014459,0,,0.19
T0014460,0,,0.89
T0014461,0,,0.25
T0014462,0,,0.95
T0014463,0,,0.23
T0014464,0,,0.1
T0014465,0,,0.94
T0014466,0,,0.59
T0014467,0,,0.84
T0014468,0,,0.99
T0014469,0,,0.29
T0014470,0,,0.13
T0014471,0,,0.68
T0014472,0,,0.47
T0014473,0,,0.7
T0014474,0,,0.4
T0014475,0,,0.07
T0014476,0,,0.29
T0014477,0,,0.88
T0014478,0,,0.34
T0014479,0,,0.75
T0014480,0,,0.23
T0014481,0,,0.65
T0014482,0,,0.6
T0014483,0,,0.63
T0014484,0,,0.55
T0014485,0,,0.12
T0014486,0,,0.28
T0014487,0,,0.98
T0014488,0,,0.96
T0014489,0,,0.05
T0014490,0,,0.48
T0014491,0,,0.53
T0014492,0,,0.56
T0014493,0,,0.72
T0014494,0,,0.62
T0014495,0,,0.48
T0014496,0,,0.9
T0014497,0,,0.05
T0014498,0,,0.14
T0014499,0,,0.91
T0014500,0,,0.1
T0014501,0,,0.5
T0014502,0,,0.74
T0014503,0,,0.92
T0014504,0,,0.72
T0014505,0,,0.13
T0014506,0,,0.95
T0014507,0,,0.32
T0014508,0,,0.22
T0014509,0,,0.54
T0014510,0,,0.39
T0014511,0,,0.37
T0014512,0,,0.82
T0014513,0,,0.78
T0014514,0,,0.04
T0014515,0,,0.76
T0014516,0,,0.33
T0014517,0,,0.18
T0014518,0,,0.06
T0014519,0,,0.2
T0014520,0,,0.41
T0014521,0,,0.59
T0014522,0,,0.83
T0014523,0,,0.05
T0014524,0,,0.41
T0014525,0,,0.22
T0014526,0,,0.76
T0014527,0,,0.16
T0014528,0,,0.4
T0014529,0,,0.07
T0014530,0,,0.66
T0014531,0,,0.52
T0014532,1,High risk transaction,0.99
T0014533,0,,0.57
T0014534,0,,0.87
T0014535,0,,0.64
T0014536,0,,0.91
T0014537,0,,0.27
T0014538,0,,0.98
T0014539,0,,0.23
T0014540,0,,0.78
T0014541,0,,0.87
T0014542,0,,0.9
T0014543,0,,0.64
T0014544,0,,0.97
T0014545,0,,0.67
T0014546,0,,0.61
T0014547,0,,0.47
T0014548,0,,0.3
T0014549,0,,0.96
T0014550,0,,0.94
T0014551,0,,0.09
T0014552,0,,0.12
T0014553,0,,0.44
T0014554,0,,0.28
T0014555,0,,0.5
T0014556,0,,0.35
T0014557,1,High risk transaction,0.88
T0014558,0,,0.45
T0014559,0,,0.97
T0014560,0,,0.59
T0014561,0,,0.39
T0014562,0,,0.89
T0014563,0,,0.48
T0014564,0,,0.08
T0014565,0,,0.51
T0014566,0,,0.85
T0014567,0,,0.69
T0014568,0,,0.22
T0014569,0,,0.57
T0014570,0,,0.4
T0014571,0,,0.57
T0014572,0,,0.98
T0014573,0,,0.71
T0014574,0,,0.69
T0014575,0,,0.95
T0014576,0,,0.75
T0014577,0,,0.77
T0014578,0,,0.04
T0014579,0,,0.76
T0014580,0,,0.16
T0014581,0,,0.38
T0014582,0,,0.34
T0014583,0,,0.66
T0014584,0,,0.81
T0014585,0,,0.8
T0014586,0,,0.18
T0014587,0,,0.76
T0014588,0,,0.96
T0014589,0,,0.01
T0014590,0,,0.06
T0014591,0,,1
T0014592,0,,0.59
T0014593,0,,0.87
T0014594,0,,0.22
T0014595,0,,0.94
T0014596,0,,0.65
T0014597,0,,0.41
T0014598,0,,0.71
T0014599,0,,0.18
T0014600,0,,0.06
T0014601,0,,0.92
T0014602,0,,0.44
T0014603,0,,0.08
T0014604,0,,0.19
T0014605,0,,0.14
T0014606,0,,0.73
T0014607,0,,0.63
T0014608,0,,0.1
T0014609,0,,0.09
T0014610,0,,0.98
T0014611,0,,0.23
T0014612,0,,0.8
T0014613,0,,0.58
T0014614,0,,0.09
T0014615,0,,0.87
T0014616,0,,0.86
T0014617,0,,0.5
T0014618,0,,0.79
T0014619,1,High risk transaction,0.85
T0014620,0,,0.8
T0014621,0,,0.28
T0014622,0,,0.5
T0014623,0,,0.49
T0014624,0,,0.26
T0014625,0,,0.97
T0014626,0,,0.04
T0014627,0,,0.24
T0014628,0,,0.69
T0014629,1,High risk transaction,0.94
T0014630,0,,0.03
T0014631,0,,0.94
T0014632,0,,0.2
T0014633,0,,0.22
T0014634,0,,0.09
T0014635,0,,0.54
T0014636,0,,0.74
T0014637,0,,0.07
T0014638,0,,0.65
T0014639,0,,0.46
T0014640,0,,0.97
T0014641,0,,0.76
T0014642,0,,0.97
T0014643,0,,0.93
T0014644,0,,0.2
T0014645,0,,0.45
T0014646,0,,0.91
T0014647,0,,0.49
T0014648,0,,1
T0014649,0,,0.29
T0014650,0,,0.5
T0014651,0,,0.16
T0014652,0,,0.48
T0014653,0,,0.72
T0014654,0,,0.42
T0014655,0,,0.96
T0014656,0,,0.13
T0014657,0,,1
T0014658,0,,0.66
T0014659,0,,0.16
T0014660,0,,0.25
T0014661,0,,0.72
T0014662,0,,0.69
T0014663,0,,0.45
T0014664,0,,0.73
T0014665,0,,0.75
T0014666,0,,0.54
T0014667,0,,0.26
T0014668,0,,0.48
T0014669,0,,0.94
T0014670,0,,0.65
T0014671,0,,0.89
T0014672,0,,0.51
T0014673,0,,0.18
T0014674,0,,0.44
T0014675,0,,0.15
T0014676,1,High risk transaction,1
T0014677,0,,0.69
T0014678,0,,0.58
T0014679,0,,0.68
T0014680,1,Multiple failed attempts,0.56
T0014681,0,,0.25
T0014682,0,,0.68
T0014683,0,,0.92
T0014684,0,,0.45
T0014685,0,,0.02
T0014686,0,,0.32
T0014687,0,,0.43
T0014688,0,,0.67
T0014689,0,,0.81
T0014690,0,,0.28
T0014691,0,,0.16
T0014692,0,,0.54
T0014693,0,,0.17
T0014694,0,,0.69
T0014695,0,,0.33
T0014696,0,,0.98
T0014697,0,,0.15
T0014698,0,,0.59
T0014699,0,,0.17
T0014700,0,,0.07
T0014701,0,,0.66
T0014702,0,,0.96
T0014703,0,,0.85
T0014704,0,,0.39
T0014705,0,,0.45
T0014706,0,,0.65
T0014707,0,,0.94
T0014708,0,,0.48
T0014709,0,,0.18
T0014710,0,,0.99
T0014711,0,,0.86
T0014712,0,,0.24
T0014713,0,,0.87
T0014714,0,,0.62
T0014715,0,,0.06
T0014716,0,,0.91
T0014717,0,,0.63
T0014718,0,,0.82
T0014719,1,High risk transaction,0.97
T0014720,0,,0.77
T0014721,1,High risk transaction,0.82
T0014722,0,,0.17
T0014723,0,,0.32
T0014724,0,,0.8
T0014725,0,,0.72
T0014726,0,,0.35
T0014727,0,,0.16
T0014728,0,,0.81
T0014729,0,,0.79
T0014730,1,Multiple failed attempts,0.56
T0014731,0,,0.5
T0014732,0,,0.04
T0014733,0,,0.96
T0014734,0,,0.74
T0014735,0,,0.96
T0014736,0,,0.58
T0014737,0,,0.09
T0014738,0,,0.23
T0014739,0,,0.63
T0014740,0,,0.69
T0014741,0,,0.22
T0014742,0,,0.64
T0014743,0,,0.32
T0014744,0,,0.58
T0014745,0,,0.92
T0014746,0,,0.15
T0014747,0,,0.65
T0014748,0,,0.13
T0014749,0,,0.49
T0014750,1,High risk transaction,0.73
T0014751,0,,0.07
T0014752,0,,0.75
T0014753,0,,0.76
T0014754,0,,0.18
T0014755,0,,0.36
T0014756,0,,0.8
T0014757,0,,0.47
T0014758,0,,0.95
T0014759,0,,0.77
T0014760,1,Multiple failed attempts,0.71
T0014761,0,,0.88
T0014762,0,,0.06
T0014763,0,,0.81
T0014764,0,,0.2
T0014765,0,,0.92
T0014766,0,,0.03
T0014767,0,,0.91
T0014768,0,,0.7
T0014769,0,,0.15
T0014770,0,,0.09
T0014771,0,,0.18
T0014772,0,,0.35
T0014773,0,,0.42
T0014774,0,,0.23
T0014775,0,,0.46
T0014776,0,,0.21
T0014777,0,,0.94
T0014778,0,,0.53
T0014779,0,,0.61
T0014780,0,,0.47
T0014781,0,,0.76
T0014782,0,,0.59
T0014783,0,,0.42
T0014784,0,,0.7
T0014785,0,,0.11
T0014786,0,,0.36
T0014787,0,,0.83
T0014788,0,,0.09
T0014789,0,,0.33
T0014790,0,,0.08
T0014791,0,,0.98
T0014792,0,,0.99
T0014793,0,,0.86
T0014794,0,,0.67
T0014795,0,,0.18
T0014796,0,,0.9
T0014797,0,,0.8
T0014798,0,,0.9
T0014799,0,,0.59
T0014800,0,,0.68
T0014801,0,,0.57
T0014802,0,,0.19
T0014803,0,,0.13
T0014804,0,,0.69
T0014805,0,,0.05
T0014806,0,,0.88
T0014807,0,,0.54
T0014808,0,,0.8
T0014809,0,,0.96
T0014810,0,,0.16
T0014811,0,,0.23
T0014812,0,,0.2
T0014813,0,,0.33
T0014814,1,High risk transaction,0.87
T0014815,0,,0.28
T0014816,0,,0.65
T0014817,0,,0.06
T0014818,0,,0.8
T0014819,0,,0.04
T0014820,0,,0.51
T0014821,0,,0.95
T0014822,0,,0.15
T0014823,0,,1
T0014824,0,,0.85
T0014825,0,,0.66
T0014826,0,,0.12
T0014827,0,,0.65
T0014828,0,,0.92
T0014829,1,High risk transaction,0.78
T0014830,0,,0.11
T0014831,0,,0.28
T0014832,0,,0.11
T0014833,0,,0.74
T0014834,0,,0.82
T0014835,0,,0.58
T0014836,0,,0.69
T0014837,0,,0.1
T0014838,0,,0.96
T0014839,0,,0.32
T0014840,0,,0.79
T0014841,0,,0.02
T0014842,0,,0.92
T0014843,0,,0.25
T0014844,0,,0.35
T0014845,0,,0.7
T0014846,0,,0.86
T0014847,0,,0.98
T0014848,0,,0.17
T0014849,0,,0.21
T0014850,0,,0.61
T0014851,0,,0.01
T0014852,0,,0.76
T0014853,0,,0.46
T0014854,0,,0.45
T0014855,0,,0.61
T0014856,0,,0.45
T0014857,0,,0.9
T0014858,0,,0.5
T0014859,0,,0.66
T0014860,0,,0.65
T0014861,0,,0.39
T0014862,0,,0.97
T0014863,0,,0.95
T0014864,0,,0.87
T0014865,0,,0.9
T0014866,0,,0.17
T0014867,0,,0.02
T0014868,0,,0.53
T0014869,1,High risk transaction,0.74
T0014870,0,,0.31
T0014871,0,,0.28
T0014872,0,,0.72
T0014873,0,,0.86
T0014874,0,,0.92
T0014875,0,,0.89
T0014876,0,,0.22
T0014877,1,High risk transaction,0.96
T0014878,0,,0.37
T0014879,0,,0.35
T0014880,0,,0.42
T0014881,0,,0.23
T0014882,0,,0.16
T0014883,0,,0.96
T0014884,0,,0.95
T0014885,0,,0.87
T0014886,0,,0.27
T0014887,0,,0.46
T0014888,0,,0.06
T0014889,0,,0.97
T0014890,0,,0.18
T0014891,0,,0.32
T0014892,0,,0.12
T0014893,0,,0.84
T0014894,0,,0.22
T0014895,0,,0.49
T0014896,0,,0.12
T0014897,0,,0.75
T0014898,0,,0.96
T0014899,0,,0.87
T0014900,0,,0.76
T0014901,0,,0.28
T0014902,0,,0.52
T0014903,0,,0.59
T0014904,0,,0.02
T0014905,0,,0.7
T0014906,0,,0.54
T0014907,0,,0.39
T0014908,0,,0.59
T0014909,0,,0.5
T0014910,0,,0.85
T0014911,0,,0.47
T0014912,0,,0.68
T0014913,0,,0.23
T0014914,0,,0.37
T0014915,0,,0.89
T0014916,0,,0.62
T0014917,0,,0.57
T0014918,0,,0.62
T0014919,0,,0.5
T0014920,0,,0.89
T0014921,0,,0.15
T0014922,0,,0.6
T0014923,0,,0.22
T0014924,0,,0.5
T0014925,0,,0.63
T0014926,0,,0.65
T0014927,0,,0.17
T0014928,1,High risk transaction,0.82
T0014929,0,,0.36
T0014930,0,,0.59
T0014931,0,,0.84
T0014932,0,,0.15
T0014933,0,,0.83
T0014934,0,,0.21
T0014935,0,,0.58
T0014936,0,,0.36
T0014937,0,,0.63
T0014938,0,,0.49
T0014939,0,,0.1
T0014940,0,,0.69
T0014941,0,,0.16
T0014942,0,,0.78
T0014943,0,,0.35
T0014944,0,,0.36
T0014945,0,,0.32
T0014946,0,,0.84
T0014947,0,,0.66
T0014948,0,,0.43
T0014949,0,,0.15
T0014950,0,,0.81
T0014951,0,,0.7
T0014952,0,,0.55
T0014953,0,,0.25
T0014954,0,,0.81
T0014955,0,,0.77
T0014956,0,,0.03
T0014957,0,,0.02
T0014958,0,,0.36
T0014959,0,,0.68
T0014960,1,High risk transaction,0.74
T0014961,0,,0.95
T0014962,0,,0.38
T0014963,0,,0.52
T0014964,0,,0.54
T0014965,0,,0.1
T0014966,0,,0.74
T0014967,0,,0.6
T0014968,0,,0.72
T0014969,0,,0.11
T0014970,0,,0.99
T0014971,0,,0.69
T0014972,0,,0.15
T0014973,0,,0.75
T0014974,0,,0.77
T0014975,0,,0.53
T0014976,0,,0.45
T0014977,1,High risk transaction,0.75
T0014978,1,High risk transaction,0.79
T0014979,0,,0.72
T0014980,0,,0.92
T0014981,0,,0.84
T0014982,0,,0.2
T0014983,0,,0.02
T0014984,0,,0.33
T0014985,0,,0.29
T0014986,0,,0.67
T0014987,0,,0.37
T0014988,0,,0.57
T0014989,0,,0.49
T0014990,0,,0.2
T0014991,1,High risk transaction,0.95
T0014992,0,,0.13
T0014993,0,,0.88
T0014994,0,,0.37
T0014995,0,,0.54
T0014996,0,,0.91
T0014997,0,,0.19
T0014998,0,,0.91
T0014999,0,,0.37
T0015000,0,,0.27
T0015001,0,,0.63
T0015002,0,,0.85
T0015003,0,,0.26
T0015004,0,,0.46
T0015005,0,,0.65
T0015006,0,,0.46
T0015007,0,,0.9
T0015008,0,,0.67
T0015009,0,,0.99
T0015010,0,,0.14
T0015011,0,,0.95
T0015012,0,,0.5
T0015013,0,,0.46
T0015014,0,,0.97
T0015015,0,,0.94
T0015016,0,,0.51
T0015017,0,,0.53
T0015018,0,,0.85
T0015019,0,,0.76
T0015020,0,,0.07
T0015021,0,,0.93
T0015022,0,,0.5
T0015023,0,,0.79
T0015024,0,,0.24
T0015025,0,,0.34
T0015026,0,,0.84
T0015027,0,,0.81
T0015028,0,,0.07
T0015029,1,High risk transaction,0.92
T0015030,0,,0.91
T0015031,0,,0.17
T0015032,0,,0.03
T0015033,0,,0.02
T0015034,0,,0.33
T0015035,0,,0.41
T0015036,0,,0.64
T0015037,0,,0.11
T0015038,0,,0.4
T0015039,0,,0.67
T0015040,0,,0.3
T0015041,0,,0.97
T0015042,0,,0.91
T0015043,0,,0.63
T0015044,1,High risk transaction,0.85
T0015045,1,Multiple failed attempts,0.63
T0015046,1,High risk transaction,0.72
T0015047,0,,0.27
T0015048,0,,0.22
T0015049,0,,0.07
T0015050,0,,0.26
T0015051,0,,0.97
T0015052,0,,0.71
T0015053,0,,0.14
T0015054,0,,0.32
T0015055,0,,0.41
T0015056,0,,0.8
T0015057,0,,0.95
T0015058,0,,0.41
T0015059,0,,0.18
T0015060,0,,0.15
T0015061,1,High risk transaction,0.86
T0015062,0,,0.36
T0015063,0,,0.17
T0015064,0,,0.68
T0015065,0,,0.33
T0015066,0,,0.06
T0015067,0,,0.52
T0015068,0,,0.43
T0015069,0,,0.01
T0015070,0,,0.6
T0015071,1,High risk transaction,0.85
T0015072,0,,0.92
T0015073,0,,0.28
T0015074,0,,0.3
T0015075,0,,0.1
T0015076,0,,0.73
T0015077,0,,0.43
T0015078,0,,0.71
T0015079,0,,0.29
T0015080,0,,0.58
T0015081,0,,0.18
T0015082,0,,0.24
T0015083,0,,0.38
T0015084,0,,0.13
T0015085,0,,0.27
T0015086,0,,0.09
T0015087,0,,0.63
T0015088,0,,0.24
T0015089,0,,0.71
T0015090,0,,0.9
T0015091,0,,0.46
T0015092,0,,0.11
T0015093,0,,0.08
T0015094,0,,0.16
T0015095,0,,0.08
T0015096,0,,0.68
T0015097,0,,0.69
T0015098,0,,0.76
T0015099,0,,0.52
T0015100,0,,0.72
T0015101,0,,0.33
T0015102,1,High risk transaction,0.94
T0015103,0,,0.02
T0015104,0,,0.03
T0015105,0,,0.97
T0015106,0,,0.32
T0015107,0,,0.72
T0015108,0,,0.79
T0015109,0,,0.41
T0015110,0,,0.02
T0015111,0,,0.34
T0015112,0,,0.94
T0015113,0,,0.56
T0015114,0,,0.58
T0015115,0,,0.81
T0015116,0,,0.18
T0015117,0,,0.96
T0015118,0,,0.22
T0015119,0,,0.61
T0015120,0,,0.46
T0015121,0,,0.12
T0015122,0,,0.8
T0015123,0,,0.04
T0015124,0,,1
T0015125,0,,0.13
T0015126,0,,0.17
T0015127,0,,0.9
T0015128,0,,0.79
T0015129,0,,0.81
T0015130,0,,0.95
T0015131,0,,0.87
T0015132,0,,0.89
T0015133,0,,0.99
T0015134,0,,0.56
T0015135,0,,0.48
T0015136,0,,0.14
T0015137,0,,0.24
T0015138,1,High risk transaction,0.87
T0015139,1,High risk transaction,0.96
T0015140,0,,0.71
T0015141,0,,0.94
T0015142,0,,0.29
T0015143,0,,0.06
T0015144,0,,0.79
T0015145,0,,0.16
T0015146,0,,0.96
T0015147,0,,0.24
T0015148,0,,0.22
T0015149,0,,0.71
T0015150,0,,0.91
T0015151,0,,0.98
T0015152,0,,0.04
T0015153,0,,0.67
T0015154,0,,0.22
T0015155,0,,0.22
T0015156,0,,0.89
T0015157,0,,0.53
T0015158,0,,0.22
T0015159,0,,0.39
T0015160,0,,0.78
T0015161,0,,0.69
T0015162,0,,0.44
T0015163,0,,0.48
T0015164,0,,0.48
T0015165,0,,0.62
T0015166,0,,0.28
T0015167,0,,0.84
T0015168,0,,0.17
T0015169,0,,0.1
T0015170,0,,0.7
T0015171,0,,0.78
T0015172,0,,0.97
T0015173,0,,0.43
T0015174,0,,0.09
T0015175,0,,0.69
T0015176,0,,0.91
T0015177,0,,0.8
T0015178,0,,0.94
T0015179,0,,0.33
T0015180,0,,0.89
T0015181,0,,0.07
T0015182,0,,0.76
T0015183,0,,0.13
T0015184,0,,0.39
T0015185,0,,0.64
T0015186,0,,0.43
T0015187,0,,0.04
T0015188,0,,0.6
T0015189,0,,0.13
T0015190,0,,0.96
T0015191,0,,0.46
T0015192,0,,0.55
T0015193,0,,0.33
T0015194,0,,0.58
T0015195,0,,0.03
T0015196,0,,0.76
T0015197,0,,0.49
T0015198,1,High risk transaction,0.72
T0015199,0,,0.93
T0015200,0,,0.78
T0015201,0,,0.84
T0015202,0,,0.87
T0015203,0,,0.89
T0015204,0,,0.98
T0015205,0,,0.04
T0015206,0,,0.9
T0015207,0,,0.62
T0015208,0,,0.33
T0015209,0,,0.71
T0015210,0,,0.98
T0015211,0,,0.84
T0015212,0,,0.41
T0015213,0,,0.59
T0015214,0,,0.85
T0015215,0,,0.37
T0015216,0,,0.52
T0015217,0,,0.11
T0015218,0,,0.32
T0015219,0,,0.05
T0015220,0,,0.31
T0015221,0,,0.12
T0015222,0,,0.26
T0015223,0,,0.04
T0015224,0,,0.07
T0015225,0,,0.37
T0015226,0,,0.32
T0015227,0,,0.82
T0015228,0,,1
T0015229,0,,0.3
T0015230,0,,0.57
T0015231,0,,0.84
T0015232,0,,0.21
T0015233,0,,0.24
T0015234,0,,0.89
T0015235,0,,0.5
T0015236,0,,0.95
T0015237,0,,0.04
T0015238,0,,0.22
T0015239,1,High risk transaction,0.83
T0015240,0,,0.7
T0015241,0,,0.88
T0015242,0,,0.64
T0015243,0,,0.41
T0015244,0,,0.62
T0015245,0,,0.59
T0015246,0,,0.81
T0015247,0,,0.03
T0015248,0,,0.66
T0015249,0,,0.2
T0015250,0,,0.41
T0015251,0,,0.94
T0015252,0,,0.01
T0015253,0,,0.64
T0015254,0,,0.26
T0015255,0,,0.21
T0015256,0,,0.7
T0015257,0,,0.9
T0015258,0,,0.82
T0015259,0,,0.29
T0015260,0,,0.11
T0015261,0,,0.34
T0015262,0,,0.38
T0015263,0,,0.21
T0015264,0,,0.94
T0015265,0,,0.58
T0015266,0,,0.4
T0015267,0,,0.5
T0015268,0,,0.1
T0015269,0,,0.44
T0015270,0,,0.24
T0015271,0,,0.21
T0015272,0,,0.69
T0015273,0,,0.42
T0015274,0,,0.29
T0015275,0,,0.38
T0015276,0,,0.17
T0015277,0,,0.05
T0015278,0,,0.21
T0015279,0,,0.08
T0015280,0,,0.04
T0015281,1,High risk transaction,0.76
T0015282,0,,0.54
T0015283,0,,0.06
T0015284,0,,0.37
T0015285,0,,0.56
T0015286,0,,0.3
T0015287,1,High risk transaction,0.88
T0015288,0,,0.4
T0015289,0,,0.43
T0015290,0,,0.09
T0015291,0,,0.22
T0015292,0,,0.22
T0015293,0,,0.01
T0015294,0,,0.27
T0015295,0,,0.6
T0015296,0,,0.61
T0015297,0,,0.62
T0015298,0,,0.72
T0015299,0,,0.97
T0015300,0,,0.08
T0015301,0,,0.67
T0015302,0,,0.63
T0015303,0,,0.07
T0015304,0,,0.06
T0015305,0,,0.24
T0015306,0,,0.37
T0015307,0,,0.66
T0015308,0,,0.74
T0015309,0,,0.14
T0015310,0,,0.93
T0015311,0,,0.63
T0015312,0,,0.58
T0015313,0,,0.22
T0015314,0,,0.74
T0015315,0,,0.07
T0015316,0,,0.88
T0015317,0,,0.11
T0015318,0,,0.29
T0015319,0,,0.96
T0015320,0,,0.41
T0015321,0,,0.89
T0015322,0,,0.07
T0015323,0,,0.53
T0015324,0,,0.14
T0015325,0,,0.51
T0015326,0,,1
T0015327,0,,0.48
T0015328,0,,0.63
T0015329,0,,0.78
T0015330,0,,0.97
T0015331,1,High risk transaction,0.73
T0015332,0,,0.14
T0015333,0,,0.33
T0015334,0,,0.03
T0015335,0,,0.51
T0015336,0,,0.66
T0015337,0,,0.13
T0015338,0,,0.64
T0015339,0,,0.24
T0015340,0,,0.39
T0015341,0,,0.79
T0015342,0,,0.46
T0015343,0,,0.35
T0015344,0,,0.02
T0015345,0,,0.14
T0015346,0,,0.85
T0015347,0,,0.24
T0015348,0,,0.23
T0015349,0,,0.52
T0015350,0,,0.18
T0015351,0,,0.31
T0015352,0,,0.2
T0015353,0,,0.71
T0015354,0,,0.11
T0015355,0,,0.62
T0015356,0,,0.69
T0015357,0,,0.63
T0015358,0,,0.17
T0015359,0,,0.63
T0015360,1,High risk transaction,0.81
